144,ITA,,1
145,ITC,,1
146,ITD,,1
147,JVC,,1
148,KAC,,1
149,KBC,,1
150,KDC,,1
151,KDH,,1
152,KHA,,1
153,KHP,,1
154,KMR,,1
155,KPF,,1
156,KSA,,1
157,KSB,,1
158,KSH,,1
159,L10,,1
160,LAF,,1
161,LBM,,1
162,LCG,,1
163,LCM,,1
164,LDG,,1
165,LGC,,1
166,LGL,,1
167,LHG,,1
168,LIX,,1
169,LM8,,1
170,LSS,,1
171,MBB,,1
172,MCG,,1
173,MCP,,1
174,MDG,,1
175,MHC,,1
176,MSN,,1
177,MWG,,1
178,NAF,,1
179,NAV,,1
180,NBB,,1
181,NCT,,1
182,NKG,,1
183,NLG,,1
184,NNC,,1
185,NSC,,1
186,NT2,,1
187,NTL,,1
188,NVT,,1
189,OGC,,1
190,OPC,,1
191,PAC,,1
192,PAN,,1
193,PC1,,1
194,PDN,,1
195,PDR,,1
196,PET,,1
197,PGC,,1
198,PGD,,1
199,PGI,,1
200,PHR,,1
201,PIT,,1
202,PJT,,1
203,PNC,,1
204,PNJ,,1
205,POM,,1
206,PPC,,1
207,PPI,,1
208,PTB,,1
209,PTC,,1
210,PTL,,1
211,PVD,,1
212,PVT,,1
213,PXI,,1
214,PXS,,1
215,PXT,,1
216,QBS,,1
217,QCG,,1
218,RAL,,1
219,RDP,,1
220,REE,,1
221,RIC,,1
222,ROS,,1
223,S4A,,1
224,SAB,,1
225,SAM,,1
226,SAV,,1
227,SBA,,1
228,SBT,,1
229,SC5,,1
230,SCD,,1
231,SCR,,1
232,SFC,,1
233,SFG,,1
234,SFI,,1
235,SGT,,1
236,SHA,,1
237,SHI,,1
238,SHP,,1
239,SII,,1
240,SJD,,1
241,SJS,,1
242,SKG,,1
243,SMA,,1
244,SMC,,1
245,SPM,,1
246,SRC,,1
247,SRF,,1
248,SSC,,1
249,SSI,,1
250,ST8,,1
251,STB,,1
252,STG,,1
253,STK,,1
254,STT,,1
255,SVC,,1
256,SVI,,1
257,SVT,,1
258,SZL,,1
259,TAC,,1
260,TBC,,1
261,TCH,,1
262,TCL,,1
263,TCM,,1
264,TCO,,1
265,TCR,,1
266,TCT,,1
267,TDC,,1
268,TDH,,1
269,TDW,,1
270,THG,,1
271,TIC,,1
272,TIE,,1
273,TIP,,1
274,TIX,,1
275,TLG,,1
276,TLH,,1
277,TMP,,1
278,TMS,,1
279,TMT,,1
280,TNA,,1
281,TNC,,1
282,TNT,,1
283,TPC,,1
284,TRA,,1
285,TRC,,1
286,TS4,,1
287,TSC,,1
288,TTF,,1
289,TV1,,1
290,TVS,,1
291,TYA,,1
292,UDC,,1
293,UIC,,1
294,VAF,,1
295,VCB,,1
296,VCF,,1
297,VFG,,1
298,VHC,,1
299,VHG,,1
300,VIC,,1
301,VID,,1
302,VIP,,1
303,VIS,,1
304,VJC,,1
305,VMD,,1
306,VNA,,1
307,VNE,,1
308,VNG,,1
309,VNH,,1
310,VNL,,1
311,VNM,,1
312,VNS,,1
313,VOS,,1
314,VPH,,1
315,VPK,,1
316,VPS,,1
317,VRC,,1
318,VSC,,1
319,VSH,,1
320,VSI,,1
321,VTB,,1
322,VTO,,1
